Key,English,Chinese,ChineseTraditional
name_item_701012,<color=#38db38>优良救赎之力</color>,<color=#38db38>优良救赎之力</color>,<color=#38db38>優良救贖之力</color>
name_item_701013,<color=#289EE2>精炼救赎之力</color>,<color=#289EE2>精炼救赎之力</color>,<color=#289EE2>精煉救贖之力</color>
name_item_701014,<color=#C244F1>高级救赎之力</color>,<color=#C244F1>高级救赎之力</color>,<color=#C244F1>高級救贖之力</color>
name_item_701015,<color=#ED7534>顶级救赎之力</color>,<color=#ED7534>顶级救赎之力</color>,<color=#ED7534>頂級救贖之力</color>
name_item_701016,<color=#EE3535>绝品救赎之力</color>,<color=#EE3535>绝品救赎之力</color>,<color=#EE3535>絕品救贖之力</color>
name_item_701020,闪电风暴,闪电风暴,閃電風暴
name_item_701021,普通闪电风暴,普通闪电风暴,普通閃電風暴
name_item_701022,<color=#38db38>优良闪电风暴</color>,<color=#38db38>优良闪电风暴</color>,<color=#38db38>優良閃電風暴</color>
name_item_701023,<color=#289EE2>精炼闪电风暴</color>,<color=#289EE2>精炼闪电风暴</color>,<color=#289EE2>精煉閃電風暴</color>
name_item_701024,<color=#C244F1>高级闪电风暴</color>,<color=#C244F1>高级闪电风暴</color>,<color=#C244F1>高級閃電風暴</color>
name_item_701025,<color=#ED7534>顶级闪电风暴</color>,<color=#ED7534>顶级闪电风暴</color>,<color=#ED7534>頂級閃電風暴</color>
name_item_701026,<color=#EE3535>绝品闪电风暴</color>,<color=#EE3535>绝品闪电风暴</color>,<color=#EE3535>絕品閃電風暴</color>
name_item_701030,巨蛛毒液,巨蛛毒液,巨蛛毒液
name_item_701031,普通巨蛛毒液,普通巨蛛毒液,普通巨蛛毒液
name_item_701032,<color=#38db38>优良巨蛛毒液</color>,<color=#38db38>优良巨蛛毒液</color>,<color=#38db38>優良巨蛛毒液</color>
name_item_701033,<color=#289EE2>精炼巨蛛毒液</color>,<color=#289EE2>精炼巨蛛毒液</color>,<color=#289EE2>精煉巨蛛毒液</color>
name_item_701034,<color=#C244F1>高级巨蛛毒液</color>,<color=#C244F1>高级巨蛛毒液</color>,<color=#C244F1>高級巨蛛毒液</color>
name_item_701035,<color=#ED7534>顶级巨蛛毒液</color>,<color=#ED7534>顶级巨蛛毒液</color>,<color=#ED7534>頂級巨蛛毒液</color>
name_item_701036,<color=#EE3535>绝品巨蛛毒液</color>,<color=#EE3535>绝品巨蛛毒液</color>,<color=#EE3535>絕品巨蛛毒液</color>
name_item_701040,觉醒药剂,觉醒药剂,覺醒藥劑
name_item_701041,普通觉醒药剂,普通觉醒药剂,普通覺醒藥劑
name_item_701042,<color=#38db38>优良觉醒药剂</color>,<color=#38db38>优良觉醒药剂</color>,<color=#38db38>優良覺醒藥劑</color>
name_item_701043,<color=#289EE2>精炼觉醒药剂</color>,<color=#289EE2>精炼觉醒药剂</color>,<color=#289EE2>精煉覺醒藥劑</color>
name_item_701044,<color=#C244F1>高级觉醒药剂</color>,<color=#C244F1>高级觉醒药剂</color>,<color=#C244F1>高級覺醒藥劑</color>
name_item_701045,<color=#ED7534>顶级觉醒药剂</color>,<color=#ED7534>顶级觉醒药剂</color>,<color=#ED7534>頂級覺醒藥劑</color>
name_item_701046,<color=#EE3535>绝品觉醒药剂</color>,<color=#EE3535>绝品觉醒药剂</color>,<color=#EE3535>絕品覺醒藥劑</color>
name_item_10001,zoe,佐伊,佐伊
name_item_10002,Of lu,乌力鲁,烏力魯
name_item_10003,Mr.,维尔,維爾
name_item_20001,gilman,吉尔曼,吉爾曼
name_item_20002,salman,萨曼,薩曼
name_item_20003,rohm,罗门,羅門
name_item_30001,shanna,莎娜,莎娜
name_item_30002,"Cookie,",库奇尔,庫奇爾
name_item_30003,ariel,艾瑞尔,艾瑞爾
name_item_40001,Melee Warrior shards,近战勇士碎片,近戰勇士碎片
name_item_40002,Horde Warrior Shard,部落勇士碎片,部落勇士碎片
name_item_40003,Elite Warrior shard,精锐勇士碎片,精銳勇士碎片
name_item_50001,Ranged Knight shard,远程骑士碎片,遠程騎士碎片
name_item_50002,Horde knight shard,部落骑士碎片,部落騎士碎片
name_item_50003,Shards of elite knights,精锐骑士碎片,精銳騎士碎片
name_item_60001,Bow hunter fragment,弓箭猎手碎片,弓箭獵手碎片
name_item_60002,Horde Hunter Shards,部落猎手碎片,部落獵手碎片
name_item_60003,Elite hunter fragment,精锐猎手碎片,精銳獵手碎片
desc_decoration_101,A little warmth through a long night. It has a special effect with the grill.,度过漫漫长夜时的一点温暖。与【烤肉架】配合有特殊效果。,度過漫漫長夜時的一點溫暖。與【烤肉架】配合有特殊效果。
desc_decoration_102,"Idols are not just sculptures, but also people's beliefs.",神像，不只是雕塑，也是人们的信仰。,神像，不只是雕塑，也是人們的信仰。
desc_decoration_103,A clear well to provide safe water for everyone.,一口清澈的水井，为大家提供安全的水源。,一口清澈的水井，為大家提供安全的水源。
desc_decoration_104,Round wooden table,圆木桩桌子,圓木樁桌子
desc_decoration_105,Wooden small stool,木桩小凳,木樁小凳
desc_decoration_106,Delicious roast meat. Special effect with Bonfire.,香喷喷的烤肉。与【篝火】配合有特殊效果。,香噴噴的烤肉。與【篝火】配合有特殊效果。
desc_decoration_107,Large flat stones used by some for stonework and others for carving.,平整的大石块，有人用来作石墙，有人用来刻画。,平整的大石塊，有人用來作石牆，有人用來刻畫。
desc_decoration_108,The tenman woven hammock is the best choice for an afternoon nap.,藤曼编织的吊床，午后小憩的最佳选择。,藤曼編織的吊床，午後小憩的最佳選擇。
desc_decoration_109,A flower bed that makes people happy,让人心情愉悦的花坛,讓人心情愉悅的花壇
desc_decoration_110,Beautiful flower wall,美丽的花墙,美麗的花牆
desc_decoration_111,Plain bamboo fence,普通的竹栅栏,普通的竹柵欄
desc_Ground_5001,"Some old camp that somebody left behind, can clean up and keep out the rain",不知什么人留下的旧营地，收拾一下还能遮风挡雨,不知什麼人留下的舊營地，收拾一下還能遮風擋雨
desc_Ground_5002,There are also some treasures scattered around the idol. I heard that those who took it away without authorization were soon...... No one touches anything that doesn't belong to them,神像周围也散落着一些宝物，听说擅自拿走的人，不久后都......再没人敢碰不属于自己的东西,神像周圍也散落著一些寶物，聽說擅自拿走的人，不久後都......再沒人敢碰不屬於自己的東西
desc_Ground_5003,A ramshackle pier,破破烂烂的码头,破破爛爛的碼頭
desc_Ground_5004,"Long abandoned watchtower, climb up should be able to see far far! \n But I have to fix the ladder first.",废弃很久的瞭望塔，爬上去应该可以看得很远很远！\n不过得先修下梯子。,廢棄很久的瞭望塔，爬上去應該可以看得很遠很遠！\n不過得先修下梯子。
desc_Ground_5005,A mammoth trapped by rocks and brambles! It's dying. Do something to save it.,一头猛犸象被石头和荆棘困住了！奄奄一息，快想办法救救它。,一頭猛獁象被石頭和荊棘困住了！奄奄一息，快想辦法救救它。
desc_Ground_5006,"Many of the planks on the bridge were decayed, and below the bridge was the rushing river... I wonder where this bridge leads to?",桥上的很多木板都腐朽了，桥下就是湍急的河水...不知道这座桥对面是通向哪里？,橋上的很多木板都腐朽了，橋下就是湍急的河水...不知道這座橋對面是通向哪里？
desc_item_1,Circulating money is the essential material for the survival of primitive people.,流通货币，是原始人生存的必需物资。,流通貨幣，是原始人生存的必需物資。
desc_item_2,"High currency, said to be a precious tear shed by the daughter of the Sea King, is widely used.",高级货币，传说是海王女儿流下的珍贵的眼泪，用途广泛。,高級貨幣，傳說是海王女兒流下的珍貴的眼淚，用途廣泛。
desc_item_3,"The active stone obtained by building houses, the higher the active stone, the unexpected effect oh!",建造房屋所获得的活跃石，活跃越高有意想不到的效果哦！,建造房屋所獲得的活躍石，活躍越高有意想不到的效果哦！
desc_item_4,"Bargaining with customers to obtain and spend energy, placing buildings can raise the energy ceiling.",与顾客讨价还价可获得和花费能量，放置建筑可提高能量上限。,與顧客討價還價可獲得和花費能量，放置建築可提高能量上限。
desc_item_5,"This is a mysterious treasure chest, don't try to force open it, it will bite!",这是一个神秘的宝箱，不要妄想强行打开它，它可是会咬人的！,這是一個神秘的寶箱，不要妄想強行打開它，它可是會咬人的！
desc_item_6,"Complete the main quest and sell more items, upgrade to become the leader, just around the corner!",多多完成主线任务和售卖物品，提升等级变成首领，指日可待！,多多完成主線任務和售賣物品，提升等級變成首領，指日可待！
desc_item_7,"Used in battle marches, it is an essential consumable for going out scenes.",用于战斗行军，是外出场景必不可少的消耗品。,用於戰鬥行軍，是外出場景必不可少的消耗品。
desc_item_8,"Mysterious SLATE, set SLATE can get the legend of the road map, heard may also find clues diary.",神秘的石板，集齐石板可以获得传说的路线图，听闻还可能发现日记的线索。,神秘的石板，集齊石板可以獲得傳說的路線圖，聽聞還可能發現日記的線索。
desc_item_9,No one can guarantee that the plain plain box is not empty,看起来平平无奇的旧质宝箱，谁也不能保证里面是不是空箱子~,看起來平平無奇的舊質寶箱，誰也不能保證裏面是不是空箱子~
desc_item_10,The key to the plain chest,可以开启旧质宝箱的钥匙,可以開啟舊質寶箱的鑰匙
desc_item_11,"It's made of wood, looks old, might have something good.",木头材质的朴素宝箱，看起来有些年代了，可能有好东西。,木頭材質的樸素寶箱，看起來有些年代了，可能有好東西。
desc_item_12,The key to the wooden chest,可以开启朴素宝箱的钥匙,可以開啟樸素寶箱的鑰匙
desc_item_13,"A silvery treasure chest, smooth and shiny.",银光闪闪的宝箱，表面光滑，闪耀光泽。,銀光閃閃的寶箱，表面光滑，閃耀光澤。
desc_item_14,The key to the silver chest,可以开启闪光宝箱的钥匙,可以開啟閃光寶箱的鑰匙
desc_item_15,"The shape is delicate and compact, but it contains a mystery.",外形精致小巧，却内含玄机的精致宝箱。,外形精緻小巧，卻內含玄機的精緻寶箱。
desc_item_16,The key to the treasure chest,可以开启精致宝箱的钥匙,可以開啟精緻寶箱的鑰匙
desc_item_17,"A luxury chest inlaid with diamonds, redolent of luxury.",镶嵌钻石的豪华宝箱，浑身都散发着贵气。,鑲嵌鑽石的豪華寶箱，渾身都散發著貴氣。
desc_item_18,The key to the luxury chest,可以开启豪华宝箱的钥匙,可以開啟豪華寶箱的鑰匙
desc_item_19,"The treasure chest, which has never been excavated before in prehistoric times, looks like overflowing with treasures.",史前从未发掘过的宝箱，不知是从哪个时代过来的，宝物满到都快溢出来的样子。,史前從未發掘過的寶箱，不知是從哪個時代過來的，寶物滿到都快溢出來的樣子。
desc_item_20,The key to the supreme Chest,可以开启至尊宝箱的钥匙,可以開啟至尊寶箱的鑰匙
desc_item_21,Plain and simple equipment case,平平无奇的旧质装备箱,平平無奇的舊質裝備箱
desc_item_22,"Made of wood, plain kit",木头材质，朴素的装备箱,木頭材質，樸素的裝備箱
desc_item_23,Shiny silver gear boxes,闪耀着银色光泽的装备箱,閃耀著銀色光澤的裝備箱
desc_item_24,Equipment case with delicate and compact appearance,外形精致小巧的装备箱,外形精緻小巧的裝備箱
desc_item_25,A luxury kit case set with diamonds,镶嵌钻石的豪华装备箱,鑲嵌鑽石的豪華裝備箱
desc_item_26,Luxury and expensive supreme gear case,奢华而贵重的至尊装备箱,奢華而貴重的至尊裝備箱
desc_item_27,木头材质，平凡的食材宝箱,木头材质，平凡的食材宝箱,木頭材質，平凡的食材寶箱
desc_item_28,闪耀着银色光泽的食材宝箱,闪耀着银色光泽的食材宝箱,閃耀著銀色光澤的食材寶箱
desc_item_29,外形精致小巧的食材宝箱,外形精致小巧的食材宝箱,外形精緻小巧的食材寶箱
desc_item_30,镶嵌钻石的豪华食材宝箱,镶嵌钻石的豪华食材宝箱,鑲嵌鑽石的豪華食材寶箱
desc_item_101,Neatly cut wooden blocks,切割整齐的木块,切割整齊的木塊
desc_item_102,There are large and small angular stones,有大有小有棱有角的石块,有大有小有棱有角的石塊
desc_item_103,It looks like a succulent herb and can be used to make ornaments.,看着像多肉的草药，可以用来制作饰品。,看著像多肉的草藥，可以用來製作飾品。
desc_item_104,It's a very complete hide. It's a very good material.,非常完整的兽皮，是上好的制造材料。,非常完整的獸皮，是上好的製造材料。
desc_item_201,坚韧的藤状木头，可塑性强，常长在阴暗潮湿的灌木从下。,坚韧的藤状木头，可塑性强，常长在阴暗潮湿的灌木从下。,堅韌的藤狀木頭，可塑性強，常長在陰暗潮濕的灌木從下。
desc_item_202,"Sapphire, which is the gift of the sea, is the most precious gem on the necklace of the daughter of the sea.",蓝宝石，这是大海的馈赠，是海的女儿项链上最珍贵的那一颗宝石。,藍寶石，這是大海的饋贈，是海的女兒項鏈上最珍貴的那一顆寶石。
desc_item_203,The heart of the FIG can be seen in the light of its colorful fruit.,在阳光下才会显现的果子，五彩斑斓映照下，可以隐约看到无花果的心。,在陽光下才會顯現的果子，五彩斑斕映照下，可以隱約看到無花果的心。
desc_item_204,"Seemingly out of this era, the fish bones are carved with characters that transcend primitive times.",似乎不是这个时代的产物，鱼骨上刻画着超越原始时代的文字。,似乎不是這個時代的產物，魚骨上刻畫著超越原始時代的文字。
desc_item_205,It is said to be a branch cut from a tree blessed by the elves.,相传是从被精灵祝福过的树木上砍下的枝丫。,相傳是從被精靈祝福過的樹木上砍下的枝丫。
desc_item_206,"Ruby, the gift of fire, is said to be the tears of joy shed by the goddess of fire.",红宝石，这是火炎的馈赠，据说是炎之女神欣喜时流下的泪水。,紅寶石，這是火炎的饋贈，據說是炎之女神欣喜時流下的淚水。
desc_item_207,Every traveler who sees it will be blessed by the goddess of fortune.,每个见到它的旅人，都会获得幸运女神的祝福。,每個見到它的旅人，都會獲得幸運女神的祝福。
desc_item_208,"The feathers shed by the phoenix when it is reborn, symbolizing birth and hope.",凤凰涅槃重生时所抖落下的羽毛，象征初生与希望。,鳳凰涅槃重生時所抖落下的羽毛，象徵初生與希望。
desc_item_209,Trees stained red by the blood of red dragons fighting their old enemies.,赤龙在与宿敌战斗时流下的鲜血所染红的树木。,赤龍在與宿敵戰鬥時流下的鮮血所染紅的樹木。
desc_item_210,Green agate represents the blessing of nature.,绿玛瑙，代表着大自然的祝福。,綠瑪瑙，代表著大自然的祝福。
desc_item_211,"Born in a dark, muddy place, with poison and power, it's a double-edged sword.",在幽暗泥泞之地诞生，蕴含着剧毒和力量，犹如一柄双刃剑。,在幽暗泥濘之地誕生，蘊含著劇毒和力量，猶如一柄雙刃劍。
desc_item_212,"Ancient giant crocodile in metamorphosis left behind the skin, containing ancient barbaric power.",远古巨鳄在蜕变时遗留下的皮囊，蕴含远古蛮荒之力。,遠古巨鱷在蛻變時遺留下的皮囊，蘊含遠古蠻荒之力。
desc_item_301,"Fat, big cuts of meat. Everybody loves meat.",肥美的大肉块，所有人都爱吃肉。,肥美的大肉塊，所有人都愛吃肉。
desc_item_302,"Delicious sea fish, no matter how you cook it.",鲜美的海鱼，怎么烹饪都好吃。,鮮美的海魚，怎麼烹飪都好吃。
desc_item_303,"Rich in nutrition, full of green power after eating!",拥有丰富的营养，食用后浑身充满绿色力量！,擁有豐富的營養，食用後渾身充滿綠色力量！
desc_item_304,The food package sent by the adventurer from afar is full of blessings in the rich ingredients!,远方的冒险者寄回家乡的料理包，丰富的食材中蕴含着满满的祝福！,遠方的冒險者寄回家鄉的料理包，豐富的食材中蘊含著滿滿的祝福！
desc_item_1001,"Simple skewers of meat and mushrooms, plain style, plain taste.",将肉串和蘑菇简单的串合起来，样式普通，口味一般。,將肉串和蘑菇簡單的串合起來，樣式普通，口味一般。
desc_item_1002,The meat is grilled with mushrooms to make it tender and chewy.,肉块和蘑菇结合烤制，让肉块变得鲜嫩且有嚼劲。,肉塊和蘑菇結合烤制，讓肉塊變得鮮嫩且有嚼勁。
desc_item_1003,The heat of the flame unleashes the beautiful taste of mushroom Shanzhen.,火焰的热量释放了蘑菇山珍的绝美口味。,火焰的熱量釋放了蘑菇山珍的絕美口味。
desc_item_1004,"It's a nice combination of mushrooms and kebabs, two proteins that go hand in hand.",蘑菇和肉串的完美结合，两种蛋白质的浑然天成。,蘑菇和肉串的完美結合，兩種蛋白質的渾然天成。
desc_item_1011,The simplest way to cook fruit and taste plain.,最简单的果实烹饪方式，口味朴素。,最簡單的果實烹飪方式，口味樸素。
desc_item_1012,It's more sweet than plain honey soup.,与朴素蜜糖汤相比，甜味更多一些。,與樸素蜜糖湯相比，甜味更多一些。
desc_item_1013,"Sour and sweet delicious, fragrant heart.",酸甜可口，清香沁心。,酸甜可口，清香沁心。
desc_item_1014,"From a variety of fruit combination, sweet and delicious.",由多种水果组合而成，香甜可口。,由多種水果組合而成，香甜可口。
desc_item_1021,The delicacy of the primordial ocean.,原始海洋的美味。,原始海洋的美味。
desc_item_1022,The best way to satisfy your hunger.,充饥饱腹的最佳选择。,充饑飽腹的最佳選擇。
desc_item_1023,The wild vegetables wrap the fish and smoulder. The smell of the wild vegetables removes the fishy taste and preserves the moisture of the fish.,野菜包裹着鱼闷烧，野菜的清香去除了腥味并保存了鱼肉的水分。,野菜包裹著魚悶燒，野菜的清香去除了腥味並保存了魚肉的水分。
desc_item_1024,"The piping hot, succulent broth and sweet, succulent, half-cooked fish make up the world's most delicious melodies.",滚烫多汁的肉汤和香甜多汁的半熟海鱼，组成了世界上最美味的旋律。,滾燙多汁的肉湯和香甜多汁的半熟海魚，組成了世界上最美味的旋律。
desc_item_1031,"The combination of various kinds of meat stew, the appearance of spices, diluted the smell.",多种肉乱炖的结合，调料的出现，稀释了腥味。,多種肉亂燉的結合，調料的出現，稀釋了腥味。
desc_item_1032,"When the vegetables are uncovered, the gravy is overflowing and the texture is soft.",揭开包裹的野菜是，肉汁四溢，口感软糯。,揭開包裹的野菜是，肉汁四溢，口感軟糯。
desc_item_1033,"Delicate caveman's favorite. Hey, keep your mouth shut!",精致原始人的最爱，嘿，收起你的口水！,精緻原始人的最愛，嘿，收起你的口水！
desc_item_1034,"The tender meat of the leg is smouldered with tight, springy mushrooms.",香嫩的腿肉与紧致附有弹性的蘑菇融合闷烧出的美味。,香嫩的腿肉與緊致附有彈性的蘑菇融合悶燒出的美味。
desc_item_101010,Making drawings of stone hammers,制作石锤的图纸,製作石錘的圖紙
desc_item_101020,Make drawings of stone axes,制作石斧的图纸,製作石斧的圖紙
desc_item_101030,Making the drawings for the dagger,制作匕首的图纸,製作匕首的圖紙
desc_item_101040,Make drawings for slingshots,制作弹弓的图纸,製作彈弓的圖紙
desc_item_101050,Make drawings of pointed spears,制作尖矛的图纸,製作尖矛的圖紙
desc_item_101060,Drawing for making bows and arrows,制作弓箭的图纸,製作弓箭的圖紙
desc_item_101070,Make the drawing of the hammer,制作重锤的图纸,製作重錘的圖紙
desc_item_101080,Make drawings of machetes,制作弯刀的图纸,製作彎刀的圖紙
desc_item_101090,Drawing of the crossbow,制作弩的图纸,製作弩的圖紙
desc_item_101100,Drawing of a crossbow,制作强弩的图纸,製作強弩的圖紙
desc_item_101110,Making drawings of scimitar knives,制作弯月刀的图纸,製作彎月刀的圖紙
desc_item_201010,Drawing for making straw hats,制作草帽的图纸,製作草帽的圖紙
desc_item_201020,Drawing of bone cap,制作骨帽的图纸,製作骨帽的圖紙
desc_item_201030,Make drawings of animal hats,制作兽帽的图纸,製作獸帽的圖紙
desc_item_201040,Making drawings of cow skin hats,制作牛皮帽的图纸,製作牛皮帽的圖紙
desc_item_201050,Drawing of feathered hat,制作羽帽的图纸,製作羽帽的圖紙
desc_item_201060,Drawing of the sapphire helmet,制作蓝宝石头盔的图纸,製作藍寶石頭盔的圖紙
desc_item_201070,Drawing of making skull cap,制作骷髅帽的图纸,製作骷髏帽的圖紙
desc_item_201080,Make the drawing of horn hat,制作牛角帽的图纸,製作牛角帽的圖紙
desc_item_201090,Making drawings of a one-star cow skin hat,制作一星牛皮帽的图纸,製作一星牛皮帽的圖紙
desc_item_201100,Make drawings of star Shine helmet,制作星耀头盔的图纸,製作星耀頭盔的圖紙
desc_item_201110,Drawing of the king's helmet,制作王者头盔的图纸,製作王者頭盔的圖紙
desc_item_301010,Making drawings of grass armour,制作草甲的图纸,製作草甲的圖紙
desc_item_301020,Drawing of bone armor,制作骨甲的图纸,製作骨甲的圖紙
desc_item_301030,Make drawings of animal armor,制作兽甲的图纸,製作獸甲的圖紙
desc_item_301040,Making drawings of crocodile armor,制作鳄鱼铠甲的图纸,製作鱷魚鎧甲的圖紙
desc_item_301050,Make drawings of leaf armour,制作叶甲的图纸,製作葉甲的圖紙
desc_item_301060,Drawing of the sapphire armor,制作蓝宝石铠甲的图纸,製作藍寶石鎧甲的圖紙
desc_item_301070,Drawing of making skull armor,制作骷髅甲的图纸,製作骷髏甲的圖紙
desc_item_301080,Making drawings of a star beast armor,制作一星兽甲的图纸,製作一星獸甲的圖紙
desc_item_301090,Drawing of the ice crocodile armor,制作冰鳄铠甲的图纸,製作冰鱷鎧甲的圖紙
desc_item_301100,Make a drawing of the star Armor,制作星耀铠甲的图纸,製作星耀鎧甲的圖紙
desc_item_301110,Drawing for the king's armor,制作王者铠甲的图纸,製作王者鎧甲的圖紙
desc_item_401010,Making drawings of thatch ankle boots,制作茅草短靴的图纸,製作茅草短靴的圖紙
desc_item_401020,Drawing for making bone shoes,制作骨板鞋的图纸,製作骨板鞋的圖紙
desc_item_401030,Making drawings of animal skin boots,制作兽皮靴的图纸,製作獸皮靴的圖紙
desc_item_401040,Make drawings of short down boots,制作短绒靴的图纸,製作短絨靴的圖紙
desc_item_401050,Making drawings of green leaf ankle boots,制作绿叶短靴的图纸,製作綠葉短靴的圖紙
desc_item_401060,Drawing of sapphire war boots,制作蓝宝石战靴的图纸,製作藍寶石戰靴的圖紙
desc_item_401070,Making drawings of animal tooth shoes,制作兽牙鞋的图纸,製作獸牙鞋的圖紙
desc_item_401080,Making drawings of a star animal leather boots,制作一星兽皮靴的图纸,製作一星獸皮靴的圖紙
desc_item_401090,Make drawings of one star velvet boots,制作一星短绒靴的图纸,製作一星短絨靴的圖紙
desc_item_401100,Make drawings of star Shine boots,制作星耀战靴的图纸,製作星耀戰靴的圖紙
desc_item_401110,Making drawings for king of Boots,制作王者战靴的图纸,製作王者戰靴的圖紙
desc_item_501010,Drawing for making a forest necklace,制作森林项链的图纸,製作森林項鏈的圖紙
desc_item_501020,Drawing for making a hard stone necklace,制作坚石项链的图纸,製作堅石項鏈的圖紙
desc_item_501030,Drawings for making rhino necklaces,制作犀牛项链的图纸,製作犀牛項鏈的圖紙
desc_item_501040,Drawing of a necklace with spike teeth,制作狼牙项链的图纸,製作狼牙項鏈的圖紙
desc_item_501050,Drawing for making a clump leaf necklace,制作丛叶项链的图纸,製作叢葉項鏈的圖紙
desc_item_501060,Drawing for making a sapphire necklace,制作蓝宝石项链的图纸,製作藍寶石項鏈的圖紙
desc_item_501070,Drawing of a necklace of animal teeth,制作兽牙项链的图纸,製作獸牙項鏈的圖紙
desc_item_501080,Drawing for making a skeleton necklace,制作骷髅项链的图纸,製作骷髏項鏈的圖紙
desc_item_501090,Drawing of making cold snow necklace,制作寒雪项链的图纸,製作寒雪項鏈的圖紙
desc_item_501100,Making the drawing of the star yao necklace,制作星耀项链的图纸,製作星耀項鏈的圖紙
desc_item_501110,Drawing for the king's necklace,制作王者项链的图纸,製作王者項鏈的圖紙
desc_item_601010,Making drawings of forest rings,制作森林戒指的图纸,製作森林戒指的圖紙
desc_item_601020,Drawing for making a solid stone ring,制作坚石戒指的图纸,製作堅石戒指的圖紙
desc_item_601030,Drawing of a rhinoceros ring,制作犀牛戒指的图纸,製作犀牛戒指的圖紙
desc_item_601040,Drawing of a spike ring,制作狼牙戒指的图纸,製作狼牙戒指的圖紙
desc_item_601050,Drawing of making clump leaf ring,制作丛叶戒指的图纸,製作叢葉戒指的圖紙
desc_item_601060,Drawing of the sapphire ring,制作蓝宝石戒指的图纸,製作藍寶石戒指的圖紙
desc_item_601070,Drawing of the tooth ring,制作兽牙戒指的图纸,製作獸牙戒指的圖紙
desc_item_601080,Drawing of making a skeleton ring,制作骷髅戒指的图纸,製作骷髏戒指的圖紙
desc_item_601090,Drawing of a cold night ring,制作寒夜戒指的图纸,製作寒夜戒指的圖紙
desc_item_601100,Make star shine ring drawings,制作星耀戒指的图纸,製作星耀戒指的圖紙
desc_item_601110,Drawing of the king's Ring,制作王者戒指的图纸,製作王者戒指的圖紙
desc_item_701010,Make drawings for the Power of Redemption,制作救赎之力的图纸,製作救贖卷軸的圖紙
desc_item_701011,All friendly units in the area now regenerate for 5 seconds.,范围内所有友军获得恢复效果，持续5秒。,範圍內所有友軍獲得恢復效果，持續5秒。
desc_item_701012,All friendly units in the area now regenerate for 5 seconds.,范围内所有友军获得恢复效果，持续5秒。,範圍內所有友軍獲得恢復效果，持續5秒。
desc_item_701013,All friendly units in the area now regenerate for 5 seconds.,范围内所有友军获得恢复效果，持续5秒。,範圍內所有友軍獲得恢復效果，持續5秒。
desc_item_701014,All friendly units in the area now regenerate for 5 seconds.,范围内所有友军获得恢复效果，持续5秒。,範圍內所有友軍獲得恢復效果，持續5秒。
desc_item_701015,All friendly units in the area now regenerate for 5 seconds.,范围内所有友军获得恢复效果，持续5秒。,範圍內所有友軍獲得恢復效果，持續5秒。
desc_item_701016,All friendly units in the area now regenerate for 5 seconds.,范围内所有友军获得恢复效果，持续5秒。,範圍內所有友軍獲得恢復效果，持續5秒。
desc_item_701020,Make drawings of lightning storms.,制作闪电风暴的图纸。,製作雷電卷軸的圖紙。
desc_item_701021,All enemy units in the area take lightning damage.,范围内所有敌军受到雷电伤害。,範圍內所有敵軍受到雷電傷害。
desc_item_701022,All enemy units in the area take lightning damage.,范围内所有敌军受到雷电伤害。,範圍內所有敵軍受到雷電傷害。
desc_item_701023,All enemy units in the area take lightning damage.,范围内所有敌军受到雷电伤害。,範圍內所有敵軍受到雷電傷害。
desc_item_701024,All enemy units in the area take lightning damage.,范围内所有敌军受到雷电伤害。,範圍內所有敵軍受到雷電傷害。
desc_item_701025,All enemy units in the area take lightning damage.,范围内所有敌军受到雷电伤害。,範圍內所有敵軍受到雷電傷害。
desc_item_701026,All enemy units in the area take lightning damage.,范围内所有敌军受到雷电伤害。,範圍內所有敵軍受到雷電傷害。
desc_item_701030,Making drawings of tarantula venom.,制作巨蛛毒液的图纸。,製作毒液卷軸的圖紙。
desc_item_701031,Poison and slow all enemies in the area for 5 seconds.,范围内所有敌军获得中毒和减速效果，持续5秒。,範圍內所有敵軍獲得中毒和減速效果，持續5秒。
desc_item_701032,Poison and slow all enemies in the area for 5 seconds.,范围内所有敌军获得中毒和减速效果，持续5秒。,範圍內所有敵軍獲得中毒和減速效果，持續5秒。
desc_item_701033,Poison and slow all enemies in the area for 5 seconds.,范围内所有敌军获得中毒和减速效果，持续5秒。,範圍內所有敵軍獲得中毒和減速效果，持續5秒。
desc_item_701034,Poison and slow all enemies in the area for 5 seconds.,范围内所有敌军获得中毒和减速效果，持续5秒。,範圍內所有敵軍獲得中毒和減速效果，持續5秒。
desc_item_701035,Poison and slow all enemies in the area for 5 seconds.,范围内所有敌军获得中毒和减速效果，持续5秒。,範圍內所有敵軍獲得中毒和減速效果，持續5秒。
desc_item_701036,Poison and slow all enemies in the area for 5 seconds.,范围内所有敌军获得中毒和减速效果，持续5秒。,範圍內所有敵軍獲得中毒和減速效果，持續5秒。
desc_item_701040,Make a blueprint for the awakening potion.,制作觉醒药剂的图纸。,製作狂暴卷軸的圖紙。
desc_item_701041,All friendly units in the area become berserk for 5 seconds.,范围内所有友军获得狂暴效果，持续5秒。,範圍內所有友軍獲得狂暴效果，持續5秒。
desc_item_701042,All friendly units in the area become berserk for 5 seconds.,范围内所有友军获得狂暴效果，持续5秒。,範圍內所有友軍獲得狂暴效果，持續5秒。
desc_item_701043,All friendly units in the area become berserk for 5 seconds.,范围内所有友军获得狂暴效果，持续5秒。,範圍內所有友軍獲得狂暴效果，持續5秒。
